Freq	3K	5K	8K	10K	12K	14K	16K	18K	20K	22K	25K	30K	40K	50K	70K	100K	125K	297K	3K_er	5K_er	8K_er	10K_er	12K_er	14K_er	16K_er	18K_er	20K_er	22K_er	25K_er	30K_er	40K_er	50K_er
1.0393193	0.225477	0.225483	0.225641	0.224809	0.226459	0.225682	0.227143	0.229438	0.22816	0.229389	0.233534	0.234013	0.230587	0.225685	0.207861	0.179298	0.148717	0.00712173	0.00157512	0.00157516	0.00157627	0.00157046	0.00158198	0.00157655	0.00158676	0.00160279	0.00159386	0.00160245	0.0016314	0.00163475	0.00161081	0.00157658
1.0539576	0.218783	0.218735	0.219191	0.218364	0.219772	0.219008	0.220365	0.222553	0.22145	0.222618	0.226356	0.22689	0.223647	0.218931	0.201456	0.173001	0.143002	0.00694682	0.000995513	0.000995293	0.000997368	0.000993603	0.00100001	0.000996536	0.00100271	0.00101266	0.00100764	0.00101296	0.00102997	0.0010324	0.00101764	0.000996186
1.0685959	0.212029	0.211872	0.21262	0.211828	0.212964	0.212317	0.21343	0.215496	0.214571	0.215702	0.219026	0.219534	0.216535	0.211936	0.193572	0.165431	0.136492	0.00736508	0.000483134	0.000482777	0.000484481	0.000482677	0.000485265	0.000483791	0.000486328	0.000491036	0.000488926	0.000491505	0.000499079	0.000500236	0.000493401	0.000482923
1.0832342	0.205299	0.20504	0.205964	0.205319	0.206079	0.205677	0.206477	0.208372	0.207596	0.208702	0.211705	0.212115	0.20939	0.204868	0.184807	0.157514	0.130068	0.00773332	4.51E-05	4.50E-05	4.52E-05	4.51E-05	4.53E-05	4.52E-05	4.53E-05	4.58E-05	4.56E-05	4.58E-05	4.65E-05	4.66E-05	4.60E-05	4.50E-05
1.0978725	0.198665	0.198351	0.199272	0.198909	0.199172	0.199107	0.199599	0.201271	0.200613	0.201682	0.204523	0.204797	0.202336	0.197883	0.176081	0.150316	0.124554	0.00760848	-0.000280367	-0.000279924	-0.000281224	-0.000280712	-0.000281084	-0.000280991	-0.000281685	-0.000284045	-0.000283117	-0.000284626	-0.000288635	-0.000289021	-0.000285549	-0.000279265
1.1125108	0.192227	0.191918	0.19265	0.192672	0.192375	0.192653	0.192893	0.19432	0.193762	0.194783	0.197599	0.19775	0.195502	0.191126	0.168251	0.144489	0.120242	0.00687455	-0.000432376	-0.000431681	-0.000433327	-0.000433378	-0.00043271	-0.000433335	-0.000433874	-0.000437084	-0.000435828	-0.000438125	-0.000444459	-0.000444798	-0.000439742	-0.000429899
1.1271491	0.186164	0.185898	0.186301	0.18674	0.185945	0.186466	0.186534	0.187728	0.187266	0.188251	0.191074	0.191172	0.189051	0.184749	0.161778	0.139999	0.116805	0.0056943	-0.000366987	-0.000366462	-0.000367257	-0.000368122	-0.000366555	-0.000367581	-0.000367716	-0.000370069	-0.000369157	-0.000371101	-0.000376664	-0.000376859	-0.000372678	-0.000364196
1.1417874	0.180705	0.180486	0.180497	0.181301	0.180204	0.18079	0.180767	0.181756	0.181395	0.182391	0.185118	0.185267	0.183172	0.17892	0.15664	0.136327	0.113638	0.00443751	-9.70E-05	-9.69E-05	-9.69E-05	-9.73E-05	-9.67E-05	-9.70E-05	-9.70E-05	-9.75E-05	-9.73E-05	-9.79E-05	-9.93E-05	-9.94E-05	-9.83E-05	-9.60E-05
1.1564257	0.176038	0.175839	0.175479	0.176528	0.175402	0.175869	0.175815	0.176618	0.176366	0.177435	0.179881	0.180164	0.178008	0.173773	0.15251	0.132927	0.110288	0.0035538	0.000298528	0.00029819	0.00029758	0.000299359	0.000297449	0.00029824	0.00029815	0.00029951	0.000299084	0.000300896	0.000305044	0.000305524	0.000301869	0.000294686
1.171064	0.172209	0.171988	0.171349	0.172484	0.171583	0.171811	0.171751	0.172374	0.172241	0.173419	0.175407	0.175844	0.173587	0.169349	0.148994	0.129534	0.106676	0.0033312	0.000697749	0.000696853	0.000694261	0.000698862	0.000695212	0.000696134	0.000695891	0.000698415	0.000697877	0.000702651	0.000710706	0.000712475	0.000703329	0.000686159
