Freq	3K	5K	10K	15K	20K	25K	30K	35K	40K	50K	70K	100K	125K	150K	175K	200K	225K	250K	275K	296K
1.88285391	0.0351282	0.0340148	0.0334787	0.0348883	0.0348206	0.0311321	0.0384683	0.0333748	0.0335054	0.030359	0.0283711	0.0258856	0.0199169	0.0133322	0.0070334	0.00372027	0.00195076	0.00080838	0.00117705	0.0016745
1.8846837	0.0350143	0.0338774	0.0333522	0.0347573	0.0346447	0.0310103	0.038319	0.0332461	0.0333969	0.0302207	0.0282028	0.0257784	0.0197726	0.0132607	0.00698827	0.00367433	0.00189768	0.000833767	0.00119635	0.00167477
1.88651349	0.0349041	0.0337437	0.0332312	0.0346283	0.0344703	0.0308911	0.0381738	0.0331193	0.0332906	0.0300879	0.0280373	0.0256735	0.0196284	0.0131912	0.00694885	0.00363553	0.0018496	0.000858978	0.00121646	0.00167152
1.88834328	0.0347974	0.0336135	0.0331154	0.0345011	0.0342979	0.0307745	0.0380325	0.032994	0.0331864	0.0299606	0.0278743	0.0255706	0.0194845	0.0131239	0.00691537	0.00360392	0.00180742	0.00088361	0.0012374	0.00166491
1.89017307	0.0346939	0.0334869	0.0330046	0.0343759	0.0341277	0.0306599	0.037895	0.0328702	0.0330837	0.0298386	0.0277141	0.0254698	0.019341	0.0130583	0.00688799	0.00357944	0.00177204	0.000907208	0.00125903	0.00165512
1.89200286	0.0345934	0.0333635	0.0328985	0.0342526	0.03396	0.0305474	0.0377611	0.0327478	0.0329825	0.0297221	0.0275566	0.0253708	0.0191981	0.0129947	0.00686683	0.00356204	0.00174434	0.000929394	0.0012813	0.00164227
1.89383265	0.0344955	0.0332433	0.0327968	0.0341312	0.0337952	0.0304365	0.0376307	0.0326267	0.0328824	0.0296107	0.0274016	0.0252736	0.0190559	0.0129329	0.00685194	0.00355159	0.00172495	0.000949839	0.0013041	0.00162655
1.89566244	0.0344001	0.0331262	0.0326992	0.0340117	0.0336336	0.0303272	0.0375033	0.0325067	0.0327831	0.0295045	0.0272492	0.025178	0.0189147	0.0128727	0.00684342	0.00354783	0.00171456	0.000968243	0.00132727	0.00160801
1.89749223	0.0343066	0.0330119	0.0326055	0.0338939	0.0334756	0.0302191	0.037379	0.0323878	0.0326842	0.0294032	0.0270993	0.025084	0.0187745	0.0128141	0.0068413	0.00355058	0.00171361	0.000984332	0.00135069	0.0015868
1.89932202	0.034215	0.0329002	0.0325152	0.033778	0.0333214	0.030112	0.0372575	0.0322697	0.0325857	0.0293068	0.0269518	0.0249914	0.0186357	0.012757	0.00684548	0.00355957	0.00172242	0.000997863	0.00137418	0.00156304
1.90115181	0.0341248	0.0327911	0.0324281	0.0336639	0.0331712	0.0300057	0.0371384	0.0321524	0.0324871	0.0292147	0.0268066	0.0249001	0.0184982	0.0127013	0.00685604	0.00357443	0.00174116	0.00100868	0.00139757	0.00153682
1.9029816	0.0340358	0.0326842	0.0323437	0.0335515	0.0330253	0.0299001	0.0370218	0.0320358	0.0323882	0.029127	0.0266635	0.0248102	0.0183625	0.0126469	0.00687277	0.00359486	0.00176977	0.00101664	0.00142067	0.00150818
1.90481139	0.0339475	0.0325793	0.0322617	0.0334409	0.0328839	0.029795	0.0369074	0.0319196	0.0322888	0.0290432	0.0265226	0.0247214	0.0182285	0.0125938	0.00689551	0.00362051	0.00180813	0.00102166	0.00144329	0.00147723
1.90664118	0.0338598	0.0324763	0.0321818	0.0333319	0.032747	0.0296903	0.0367949	0.0318038	0.0321888	0.0289631	0.0263836	0.0246336	0.0180966	0.0125418	0.00692412	0.003651	0.00185602	0.00102371	0.00146514	0.00144404
